network_seed,scenario,mean_distance_realized_cost,mean_free_flow_realized_cost,mean_ml_realized_cost,mean_expected_oracle_route_realized_cost,mean_ml_improvement_vs_distance_percent,mean_ml_improvement_vs_free_flow_percent,mean_draw_level_ml_improvement_vs_free_flow_percent,distance_realized_std,free_flow_realized_std,ml_realized_std,distance_p90_realized_cost,free_flow_p90_realized_cost,ml_p90_realized_cost,expected_oracle_route_p90_realized_cost,ml_p90_improvement_vs_free_flow_percent,probability_ml_beats_free_flow,probability_ml_beats_distance,decision_scenario_index,realization_count,win_probability,tie_probability,loss_probability,mean_savings_minutes,median_savings_minutes,conditional_win_probability,expected_ml_improvement_vs_free_flow_percent,expected_outcome_vs_free_flow,expected_ml_regret_vs_oracle_percent
5,weekend_evening,201.84230599911933,158.35803050623062,151.82311046676864,150.56741284353268,24.781323858125628,4.12667423216334,4.090462775169415,8.724721676906801,7.371137080069167,7.666516495832495,212.68347962799425,167.96105642083438,161.07909231757696,162.8138430093642,4.0973570004312965,0.91,1.0,23,100,0.91,0.0,0.09,6.534920039461956,6.275555012563473,0.91,4.259980743578414,win,1.2071635252512047
6,weekday_midday,149.9352922421866,129.59039813020345,127.45507684843218,127.45507684843218,14.993278138573736,1.6477465248820502,1.528470316101419,8.633095979005192,8.381078583092476,7.984723577214274,161.87043836641905,139.54596706507027,136.66057769700976,136.66057769700976,2.0676981418711,0.68,1.0,24,100,0.68,0.0,0.32,2.1353212817712324,2.148566474560681,0.68,1.6649291112267723,win,0.0
6,weekday_rush,197.9287282548032,175.61039331753335,175.61039331753335,175.61039331753338,11.275945202122651,0.0,0.0,8.084493278328635,8.84081189800655,8.84081189800655,208.53559925899347,186.72156722110947,186.72156722110947,186.7215672211095,0.0,0.0,1.0,25,100,0.0,1.0,0.0,0.0,0.0,,0.0,tie,0.0
6,weekend_midday,128.65913230025103,117.85525089070346,117.85525089070346,117.85525089070346,8.397290745234173,0.0,0.0,7.792012617237285,8.911780647109083,8.911780647109083,139.0882184559012,128.39726680724326,128.39726680724326,128.39726680724326,0.0,0.0,0.93,26,100,0.0,1.0,0.0,0.0,0.0,,0.0,tie,0.0
6,weekend_evening,159.08346017837945,146.28567320591517,140.21007109570868,140.21007109570868,11.863828622729296,4.153244796333765,4.115243786289583,8.022449630370518,9.591847961606929,9.807848550307922,169.93497956133854,155.36969239590783,151.60656966516487,151.60656966516487,2.422044269196274,0.86,0.99,27,100,0.86,0.0,0.14,6.075602110206482,6.260296014744441,0.86,4.0241047202602,win,0.0
7,weekday_midday,123.96898201685298,110.15882904727005,109.01271352543928,109.01271352543928,12.064524728758744,1.0404209374256856,0.935314672884578,8.078027836930685,8.078670820689878,7.673939713758841,133.32131088265328,120.0081297422398,118.59304121280894,118.59304121280894,1.179160555597581,0.65,0.97,28,100,0.65,0.0,0.35,1.1461155218307735,1.5102489377057822,0.65,1.253234746861133,win,0.0
7,weekday_rush,157.91798574609504,135.164440393663,131.53114886158767,131.53114886158767,16.709203046024708,2.688052805525968,2.532844892762929,8.944282528088365,7.865761656918301,7.676678786400236,169.0833739818778,144.51840334547754,142.1204033978162,142.12040339781623,1.6593042077338824,0.69,0.98,29,100,0.69,0.0,0.31,3.6332915320753356,4.107274958069709,0.69,1.5894113267015353,win,0.0
7,weekend_midday,113.19519553698228,98.08464354561954,99.36055814226069,98.08464354561954,12.22192985231574,-1.300830130506308,-1.4321929751253568,8.021439629932633,7.565711133862278,7.72554168189294,123.65606038100071,106.58911020658576,110.36460786676444,106.58911020658576,-3.5421044915950635,0.35,0.98,30,100,0.35,0.0,0.65,-1.2759145966411063,-1.4965581657320755,0.35,-1.149035136948054,loss,1.149035136948054
7,weekend_evening,145.56656047154237,117.23846516662933,115.54742208719978,115.54742208719978,20.622276357358313,1.4423961257306577,1.403559945832976,8.169302205459452,7.966360922773042,8.738603267574975,155.98362292642955,128.3221461642091,126.47918479438472,126.47918479438472,1.436198992078908,0.62,1.0,31,100,0.62,0.0,0.38,1.6910430794295557,1.7102090179206186,0.62,0.9953390186961308,win,0.0
8,weekday_midday,170.60735706360884,134.32835728094847,134.70436268981257,133.08865018016994,21.04422399580945,-0.2799151396437354,-0.4355266270435823,8.512804939696439,7.764543120593073,7.9370505271373055,182.4387533923524,143.96830403687417,143.3900126242426,140.9470442351585,0.4016796728281732,0.49,1.0,32,100,0.49,0.0,0.51,-0.3760054088641398,-0.014466382702906344,0.49,-1.0322041946754967,loss,1.3455221171250162
8,weekday_rush,228.20669312904224,153.32753894124193,149.86443686688122,149.8644368668812,34.329517328337715,2.2586301836409395,2.2240992048844777,8.024498351033964,8.053128022755233,8.712143396305422,239.5837069180961,164.5594975132704,162.0653689028254,162.0653689028254,1.5156394180432262,0.74,1.0,33,100,0.74,0.0,0.26,3.463102074360722,3.018607521358547,0.74,2.5371036431708247,win,0.0
8,weekend_midday,169.25134065107167,116.04131882135844,116.04131882135844,116.04131882135844,31.438464017493928,0.0,0.0,8.820149607874347,8.305910379273222,8.305910379273222,180.499248325916,127.3529293121092,127.3529293121092,127.3529293121092,0.0,0.0,1.0,34,100,0.0,1.0,0.0,0.0,0.0,,0.0,tie,0.0
