instance,num_customers,seed,num_vehicles,time_limit_seconds,status,feasible,distance,runtime_seconds,best_bound,mip_gap_percent,node_count,solution_count,gurobi_status
cvrp_n10_seed8,10,8,2,0.01,FEASIBLE,True,114.61290658365142,0.013661500008311123,65.48757554528316,42.86195377351644,1.0,4,9
cvrp_n10_seed8,10,8,2,0.05,FEASIBLE,True,104.47989810667075,0.053654959017876536,73.92622820295894,29.24358700323143,1.0,6,9
cvrp_n10_seed8,10,8,2,0.1,FEASIBLE,True,101.1265810936063,0.10391258395975456,81.44970552459114,19.45766914714694,1193.0,7,9
cvrp_n10_seed8,10,8,2,0.5,OPTIMAL,True,101.1265810936063,0.1716517920140177,101.1265810936063,0.0,3549.0,7,2
cvrp_n10_seed8,10,8,2,1.0,OPTIMAL,True,101.1265810936063,0.17940045800060034,101.1265810936063,0.0,3549.0,7,2
cvrp_n10_seed9,10,9,2,0.01,FEASIBLE,True,115.87058008429061,0.013510167016647756,59.52261343126521,48.63008937388144,1.0,4,9
cvrp_n10_seed9,10,9,2,0.05,FEASIBLE,True,99.17302532470012,0.052769500005524606,76.02884429558662,23.337173544255272,1.0,10,9
cvrp_n10_seed9,10,9,2,0.1,FEASIBLE,True,95.31700451635098,0.10379900003317744,80.27304858722064,15.783076698082393,1183.0,10,9
cvrp_n10_seed9,10,9,2,0.5,OPTIMAL,True,94.79184428981398,0.19929625000804663,94.79184428981398,0.0,3290.0,10,2
cvrp_n10_seed9,10,9,2,1.0,OPTIMAL,True,94.79184428981398,0.19657962501514703,94.79184428981398,0.0,3290.0,10,2
cvrp_n15_seed0,15,0,3,0.01,NO_SOLUTION,False,,0.019136458984576166,,,,0,9
cvrp_n15_seed0,15,0,3,0.05,FEASIBLE,True,162.1742400050695,0.05960666702594608,97.10870861031555,40.120756164924856,1.0,5,9
cvrp_n15_seed0,15,0,3,0.1,FEASIBLE,True,144.91907524747626,0.10881275002611801,101.79943242448417,29.754290626929052,1.0,9,9
cvrp_n15_seed0,15,0,3,0.5,FEASIBLE,True,136.4567988500274,0.5093035839963704,107.03827673287083,21.55885405863064,3231.0,10,9
cvrp_n15_seed0,15,0,3,1.0,FEASIBLE,True,135.50755290089222,1.0089507499942556,108.25402729069559,20.112181960904696,3259.0,10,9
cvrp_n15_seed1,15,1,3,0.01,NO_SOLUTION,False,,0.018810708017554134,,,,0,9
cvrp_n15_seed1,15,1,3,0.05,FEASIBLE,True,161.15253190883575,0.058879290998447686,80.07995674368333,50.307974814206034,1.0,2,9
cvrp_n15_seed1,15,1,3,0.1,FEASIBLE,True,139.7838405252912,0.11228654201840982,82.77497986779734,40.78358445673068,1.0,4,9
cvrp_n15_seed1,15,1,3,0.5,FEASIBLE,True,139.6386716089124,0.5099588750163093,83.72290796372525,40.04317930049569,1230.0,5,9
cvrp_n15_seed1,15,1,3,1.0,FEASIBLE,True,139.26111070404073,1.0204319580225274,91.25602438410088,34.471279223070965,2830.0,6,9
cvrp_n15_seed2,15,2,3,0.01,NO_SOLUTION,False,,0.01891700003761798,,,,0,9
cvrp_n15_seed2,15,2,3,0.05,FEASIBLE,True,142.67154039701836,0.05920266598695889,72.79908064284639,48.974350147012366,1.0,3,9
cvrp_n15_seed2,15,2,3,0.1,FEASIBLE,True,137.7262265979763,0.11472124996362254,75.20435755325727,45.395761278801864,1.0,5,9
cvrp_n15_seed2,15,2,3,0.5,FEASIBLE,True,133.72396002447013,0.5102558750077151,75.21292287177853,43.75508857349474,1160.0,8,9
cvrp_n15_seed2,15,2,3,1.0,FEASIBLE,True,126.04954947077213,1.025802416028455,75.21292287177853,40.330669020583365,2554.0,10,9
cvrp_n15_seed3,15,3,3,0.01,NO_SOLUTION,False,,0.01874099997803569,,,,0,9
cvrp_n15_seed3,15,3,3,0.05,FEASIBLE,True,215.2197198524322,0.0594149170210585,128.57242949574993,40.25992154254868,1.0,4,9
cvrp_n15_seed3,15,3,3,0.1,FEASIBLE,True,166.6443171626831,0.11188849998870865,131.01147441831287,21.38257298602292,1.0,10,9
cvrp_n15_seed3,15,3,3,0.5,FEASIBLE,True,152.21968551525177,0.5096648749895394,134.31519923272583,11.762267292775338,2185.0,10,9
cvrp_n15_seed3,15,3,3,1.0,FEASIBLE,True,152.21968551525177,1.0103905000141822,135.04954498207817,11.279842337772546,3128.0,10,9
cvrp_n15_seed4,15,4,3,0.01,NO_SOLUTION,False,,0.01912379200803116,,,,0,9
cvrp_n15_seed4,15,4,3,0.05,FEASIBLE,True,138.5766953760973,0.06193187501048669,88.50355414618716,36.13388318577779,1.0,5,9
cvrp_n15_seed4,15,4,3,0.1,FEASIBLE,True,137.62268273069057,0.10931229201378301,91.01058290331439,33.86948931855217,1.0,8,9
cvrp_n15_seed4,15,4,3,0.5,FEASIBLE,True,120.03551542040738,0.5099283329909667,93.54620816026492,22.067891463095243,2898.0,10,9
cvrp_n15_seed4,15,4,3,1.0,FEASIBLE,True,117.25496906177789,1.009159415960312,94.63838311282467,19.288381660855038,3017.0,10,9
cvrp_n15_seed5,15,5,3,0.01,NO_SOLUTION,False,,0.01880212500691414,,,,0,9
cvrp_n15_seed5,15,5,3,0.05,FEASIBLE,True,146.50955813422183,0.05954016698524356,76.16842288086247,48.01129438184349,1.0,4,9
cvrp_n15_seed5,15,5,3,0.1,FEASIBLE,True,134.28415342782336,0.10937654098961502,84.29373071368678,37.22734324047105,1.0,6,9
cvrp_n15_seed5,15,5,3,0.5,FEASIBLE,True,118.08720925191338,0.5124217919656076,86.08429189803206,27.101087032728543,2646.0,10,9
cvrp_n15_seed5,15,5,3,1.0,FEASIBLE,True,114.81675795355682,1.0243205419974402,86.86604628048772,24.343756234934894,2667.0,10,9
cvrp_n15_seed6,15,6,3,0.01,NO_SOLUTION,False,,0.01874604099430144,,,,0,9
cvrp_n15_seed6,15,6,3,0.05,FEASIBLE,True,170.60135970251292,0.059367791982367635,82.26679760735212,51.77834587555146,1.0,4,9
cvrp_n15_seed6,15,6,3,0.1,FEASIBLE,True,156.98468194375133,0.10997145803412423,92.3681974273755,41.161012473515314,1.0,8,9
cvrp_n15_seed6,15,6,3,0.5,FEASIBLE,True,137.3260930077465,0.5090775409480557,94.4462722106225,31.224816681200686,2457.0,10,9
cvrp_n15_seed6,15,6,3,1.0,FEASIBLE,True,137.3260930077465,1.016119166975841,94.4462722106225,31.224816681200686,2474.0,10,9
cvrp_n15_seed7,15,7,3,0.01,NO_SOLUTION,False,,0.018570791988167912,,,,0,9
cvrp_n15_seed7,15,7,3,0.05,FEASIBLE,True,216.87697648561746,0.05887362500652671,71.96235000251312,66.81881536314879,1.0,5,9
cvrp_n15_seed7,15,7,3,0.1,FEASIBLE,True,152.04751439149874,0.11246108397608623,87.4388767440632,42.4923997646409,1.0,10,9
cvrp_n15_seed7,15,7,3,0.5,FEASIBLE,True,121.69139937173951,0.513571499963291,91.33181763853592,24.948009382702534,2950.0,10,9
cvrp_n15_seed7,15,7,3,1.0,FEASIBLE,True,118.2430704447944,1.012915166968014,93.41165208776499,21.000315928553935,2967.0,10,9
cvrp_n15_seed8,15,8,3,0.01,NO_SOLUTION,False,,0.018932375009171665,,,,0,9
cvrp_n15_seed8,15,8,3,0.05,FEASIBLE,True,135.26324525857405,0.059462792007252574,79.73382949751512,41.05284895013935,1.0,4,9
cvrp_n15_seed8,15,8,3,0.1,FEASIBLE,True,132.63310110105422,0.10924879100639373,88.49472610109848,33.27855160856592,1.0,5,9
cvrp_n15_seed8,15,8,3,0.5,FEASIBLE,True,126.83216171768102,0.5105025420198217,90.64349528570624,28.53272067736894,2638.0,10,9
cvrp_n15_seed8,15,8,3,1.0,FEASIBLE,True,119.2648182110774,1.0100789170246571,92.13087357637086,22.751004899604432,2814.0,10,9
cvrp_n15_seed9,15,9,3,0.01,NO_SOLUTION,False,,0.01884770899778232,,,,0,9
cvrp_n15_seed9,15,9,3,0.05,FEASIBLE,True,174.3499449617872,0.058990250050555915,67.5358492572842,61.26419812057513,1.0,5,9
cvrp_n15_seed9,15,9,3,0.1,FEASIBLE,True,131.99362608693372,0.10949679202167317,92.81512165973236,29.68211843911129,1.0,9,9
cvrp_n15_seed9,15,9,3,0.5,FEASIBLE,True,118.57573440759775,0.5105370419914834,97.14465241054576,18.073750168296485,3589.0,10,9
